V1	V8	V9	V10	Q46	Q51	Q57	Q1	Q42	Q2_1	Q2_2	Q2_3	Q2_4	Q36_1	Q36_2	Q36_3	Q36_4	Q59_1	Q59_2	Q60_1	Q60_2	Q56	Q37_1	Q37_2	Q37_3	Q37_4	Q38	Q40	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q53	Q54	Q55	Q43	Q42.0	Q43.0	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q13_12	Q13_13	Q13_14	Q13_15	Q50	Q29	Q30	Q52_1	Q52_2	Q19	Q14	Q15	Q16	Q17	Q17_TEXT	Q18	Q3	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q33	Q39	Q44	Q34	Q41	Q35
R_u7IepZmHjpRMSY1	4-8-2016__2:46:14_PM	4-8-2016__2:54:23_PM	1	1	1	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	2	5	5	4	4	4	2	2	3	2	6	5	3	NA	1	"Access to laptops, regular computer lab"	6	5	1	1	3	2	4	NA	3	3	1	5	3	1	1	Department of Biology	7	6	"Unity and Diversity of Life, Department of Biology, 4credits"	"Technology gap, admin support, training"	NA	NA	NA	NA	NA
R_0od8XWUiguzej0F	4-7-2016__11:37:45_AM	4-7-2016__11:43:39_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	lack of resources such as computers and materials	2	NA	1	"time to fit into curriculum, availability of computers, faculty/graduate students with expertise are limited"	3	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	3	3	3	3	3	3	3	4	4	4	NA	1	all listed above	3	4	1	1	5	2	4	NA	19	2	1	4	1	3	3	Biological Sciences	3	4	NA	lack of expertise by faculty and lack of computing resources	NA	NA	NA	NA	NA
R_cOKRzB6nZudV8X3	4-7-2016__3:20:50_PM	4-8-2016__12:15:29_PM	1	1	1	1	2	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	1	"Teaching load.  Cost of wet lab (though getting much less expensive).  Lack of student interest (will not help them get into dental school, medical school, PA school, etc.)."	1	http://www.udmercy.edu/catalog/undergraduate2012-2013/programs/eng-sci/bioinformatics-minor/index.htmsIt_is_a_minor_offered_by_our_Math_and_Computer_Science_Department.__Most_Biology_Major_do_not_want_to_participate.	2	NA	NA	NA	NA	NA	NA	1	5	4	5	3	3	3	4	4	3	3	3	3	1	5	2	Understanding of false discovery rate	1	Faculty computers are denied administration right so cannot install software.  Faculty are prohibited from installing Linux on computers.  Computer contain insufficient memory and are prohibited from adding memory to their computer.  Poor bandwidth.	2	5	1	2	5	2	4	NA	27	3	1	3	2	1	2	Biology Department	2	3	"Ecology Laboratory, Bio4490.  This is a field ecology course.  In the course, students use DNA bar coding to identify hard to classify organisms.  As part of the GCAT initiative, I added a laboratory investigation where students use a RNA-seq data set fro an aquatic plants to develop hypothesis on nutrient regulated gene expression in the environment then use RT-qPCR to test their hypothesis."	"1) Lack of student interest because not required for medical school.s2) If we incorporate bioinformatics into existing courses, what content do we remove? The semester is still only 15 weeks long."	NA	0	0	NA	I also used the pre- post- RNA-seq assessment instrument developed by GCAT.  You can view it at http://lycofs01.lycoming.edu/~gcat-seek/assessment.html
R_5vWBi7dawllFYl7	4-26-2016__7:17:26_PM	4-26-2016__7:29:54_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	time and info	2	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	4	4	4	3	3	3	3	3	3	3	2	4	3	NA	2	NA	2	4	1	2	5	2	4	NA	39	2	1	3	1	2	1	Biology	2	4	NA	"Student goals - medicine, dentistry, patient care (little interest in research)"	NA	NA	NA	NA	NA
R_YWGpsYtSDWr3xjr	4-8-2016__9:30:33_AM	4-8-2016__9:36:58_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	The density of topics needed to be covered in an introductory biology course.	2	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	5	4	4	4	3	4	4	3	3	3	2	4	3	NA	2	NA	3	5	1	2	5	2	4	NA	21	2	1	2	3	1	1	Department of Natural Sciences	1	1	NA	NA	NA	NA	NA	NA	NA
R_d4fBlZ7OtgqnlFb	4-7-2016__10:27:36_PM	4-7-2016__10:52:48_PM	1	1	1	1	2	1	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	3	5	5	2	2	3	3	2	2	3	2	5	4	NA	2	NA	3	5	1	1	5	2	4	NA	9	8	1	3	1	1	1	Natural Sciences Department	1	3	"BIO 151: Biology II - Unity and Diversity of LifesIntroductory biology course required of all majors. Recently revamped to include a semester-long research-driven laboratory in which students collect aquatic insects for DNA barcoding. BIO 410: SpecialTopics - Population Genetics & EvolutionsUpper-level elective course that draws upon bioinformatics, particularly related to phylogenetics and population genetics research projects."	"Access to resources for user-friendly, integrated bioinformatics commercial software (e.g., Geneious) and generation of new data"	NA	NA	NA	NA	"I am willing to be contacted to potentially share course materials, provided I have a bit more information about their use and copyright (e.g., Creative Commons). My email address to be disassociated from this survey is afusaro@marygrove.edu."
R_ahgScgVOwMKUJ6J	5-3-2016__4:09:05_PM	5-3-2016__4:15:50_PM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	NA	Time	1	NA	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	1	1	4	5	2	2	3	3	3	1	2	1	3	2	NA	1	NA	2	2	1	2	5	2	4	NA	26	2	1	1	1	3	3	Science/Biology	2	5	NA	NA	NA	NA	NA	NA	NA
R_3Jeo9KeVmvug6Vf	4-10-2016__5:10:50_PM	4-10-2016__5:16:46_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	Inertia and an already full curriculum	1	NA	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	5	3	3	2	2	2	2	2	2	2	3	4	3	"Youve asked about very specific software packages, which are not important to me. If you had asked about conceptual knowledge, my ratings would have higher."	2	NA	3	5	1	1	5	2	4	NA	24	1	1	2	2	1	1	Biology	1	2	NA	See my note about conceptual understanding.	NA	NA	NA	NA	NA
R_6RTURfaPraZjbcF	4-18-2016__3:40:59_PM	4-18-2016__3:58:40_PM	1	1	1	1	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	2	NA	2	NA	1	molecular biology and bioinformaticsshttps://www.uwp.edu/learn/programs/molecularbiomajor.cfm	NA	NA	NA	NA	NA	1	5	4	4	5	5	4	4	4	4	3	3	3	5	4	4	NA	2	NA	5	5	1	2	5	2	4	NA	20	2	1	2	2	1	1	Biological Sciences	2	3	BIOS 453: Molecular Biology and Bioinformatics of Nucleic Acids; BIOS 455: Protein Biochemistry and Bioinformatics; BIOS 435: Experimental Methods; BIOS 303: Microbiology; BIOS 260: General Genetics	It is questionable whether one can practice bioinformatics at a smaller school given the pace of change in technologies.  Often the best you can hope for is a theoretical foundation with some practice on writing scripts as well as accessing and analyzin data.	NA	NA	NA	NA	NA
R_9zPtC5dm0hiD3j7	4-7-2016__11:56:13_AM	4-7-2016__12:37:40_PM	1	1	1	1	2	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	1	3	3	3	3	3	2	2	2	2	1	2	1	1	2	2	NA	1	Barrier:  number of good computer labs available for teaching labs.	1	4	1	1	2	2	4	NA	18	3	1	3	3	2	2	Department of Biological Sciences	2	3	"BIOS 260:  General Genetics (offered in the Dept. of Biological Sciences).  Fundamental  principles  including  transmission,  molecular  and population  genetics.    Laboratory  introduces  techniques  appropriate for investigating a variety of organismsused in the discipline, including microorganisms,  plants,  lower    animals,  and  humans. Three-hour lecture; three-hour lab. BIOS 435: Experimental Methods / CHEM 308: Biochemistry Lab (cross-listed in both the Depts of Biological Sciences and Chemitry): Familiarization with the use of scientific instruments and techniques, and developing proficiency in the  process of scientific investigation.  Four-hour lab."	NA	NA	NA	NA	NA	NA
R_1U1c2QLoaQF7mw5	4-25-2016__1:49:22_PM	4-25-2016__1:59:55_PM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	not a competency	2	NA	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	NA	2	NA	2	2	1	1	5	2	2	NA	15	9	1	1	3	4	4	Science	1	6	NA	Not many people know what bioinformatics is.	NA	NA	NA	NA	NA
R_3F68kPwyKFOtGSx	4-7-2016__10:11:34_AM	4-7-2016__10:22:21_AM	1	1	1	1	2	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	3	5	4	3	4	4	4	3	3	3	2	4	4	NA	1	"mostly access to sufficient computers and computer labs - we are working on this, but have a very real space problem"	2	4	1	1	5	2	4	NA	29	2	1	4	2	3	3	Biological Sciences	3	4	"Biology I - Biological Sciences - Introduction to Biology - part of a two semester sequence for STEM and pre-med, dent, vet, pharmacy, PT, health science students"	Insufficient time to meaningfully incorporate bioinformatics into the curriculum.  Insufficient knowledge by some of the faculty about bioinformatics - this is changing as individuals retire.	NA	NA	NA	NA	NA
R_ctMjgIYYy9fJlSB	4-7-2016__3:48:44_PM	4-7-2016__3:54:34_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	not enough computers in classsneed more time to prepare lessons	2	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	4	4	5	4	3	3	3	3	3	3	2	2	2	3	NA	1	We need to have laptops in the lecture room	2	6	1	2	5	2	4	NA	23	2	1	4	3	3	3	Biological Sciences	3	4	NA	NA	NA	NA	NA	NA	NA
R_1f7xLAE6mV1tO4g	4-7-2016__10:54:50_AM	4-7-2016__10:59:54_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	3	3	3	5	3	4	4	5	5	5	NA	NA	NA	5	5	1	1	5	2	4	NA	11	8	1	4	2	3	3	Dept. of Biological Sciences	2	6	NA	Curriculum development	NA	NA	NA	"Use of databases, sophisticated understanding of BLAST, coding, knowing how to analyze the data"	NA
R_abDZMXaLDahHDBH	4-18-2016__3:10:47_PM	4-18-2016__3:17:22_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	Development of materials	1	NA	1	"Time to develop problems, appropriate textbooks, fitting it in the curriculum"	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	3	3	5	5	4	4	4	5	4	4	3	3	3	2	NA	1	"availability of a computer lab, adequate IT support (really, there is none now-it all just faculty)"	3	5	1	1	5	2	4	NA	25	2	1	2	2	1	1	Biology Department	2	3	NA	Showing students it is important to their training-students are quite unfamiliar with computers (not counting texting/facebook/Microsoft Word).  and dont like to learn something brand new	NA	NA	NA	NA	NA
R_0Hbf8RNmYIlXjSt	4-22-2016__11:38:33_AM	4-22-2016__11:48:39_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	There is just so much to include in an introductory biology course.  Something had to go.	2	NA	1	"I am working with a biology colleague to develop an advanced evolutionary biology class that would include quite a bit of bioinformatics, but we have been slow to finalize the course and get university approval - hopefully up and running in a year or so."	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	1	4	2	2	2	2	2	2	2	2	2	1	2	2	NA	2	NA	2	5	1	1	5	2	4	NA	20	2	1	2	2	2	2	Department of Biology	2	3	NA	"Being at a non-research university, we have little monies to purchase software/hardware, and no monies for workshops/courses/ acquire formal training.sAlso, technology (hardware and software) continually improves / changes, so keeping up with the modern ools are a challenge."	NA	NA	NA	NA	NA
R_1ZwAqjZAlFkpVNr	4-25-2016__10:33:04_AM	4-25-2016__10:40:38_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1) Have not developed curriculum.s2) Students limited math skills	2	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	5	5	3	3	3	3	2	3	2	3	3	3	4	4	NA	1	NA	4	4	1	2	5	2	4	NA	15	2	1	5	3	2	2	Department of Biology	2	3	NA	NA	NA	NA	NA	NA	NA
R_3jT2lrQoSPqDkwa	4-5-2016__12:51:54_PM	4-5-2016__1:04:46_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	Determining which coding to teach in which context and coordinating with others and dealing with other priorities	3	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	2	4	3	3	2	3	2	2	2	2	5	2	4	Be able to dissect existing source code and create some (but in an incredibly transparent language like html)	2	NA	2	2	1	2	5	2	4	NA	25	2	1	4	2	3	3	Physiology	3	4	NA	"All courses face the same greatest difficulty, instructors who are not hired based on, or rewarded/respected for, using data and modern reformed pedagogy in teaching."	NA	NA	NA	NA	"Students need to learn to code to be a citizen of the modern world,  knowing how to use a tool is not enough."
R_ehyy4vwEDiPdXKt	4-18-2016__4:27:13_PM	4-18-2016__4:59:16_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	Finding room in an already packed line up of topics	1	NA	2	NA	1	Bioinformatics_minor_via_Biology/Computer_Science_Departments	2	NA	NA	NA	NA	NA	NA	1	3	3	2	2	2	2	2	2	2	2	2	2	3	2	3	NA	1	NA	3	4	1	2	5	2	4	NA	15	2	1	2	1	2	2	Biology	3	4	NA	NA	NA	NA	NA	NA	NA
R_0NC9NiWvS2W1ITr	4-7-2016__10:20:51_AM	4-7-2016__10:44:58_AM	1	1	1	1	2	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	3	5	5	5	2	2	4	4	3	3	3	4	4	3	Basic phylogenetic comparison	2	NA	4	5	1	2	5	2	4	NA	14	2	1	2	2	1	1	Department of Biology	2	3	"Biology 161 LN - Laboratory of Biology 161, Cellular and Genetic Systems. Spring semester. For students who participated in the SEA-PHAGES course in the fall semester. Meets twice per week for two hours. Students use BLAST, DNAMaster (ORF-finders), tRNA fnders, Dotplots, phylogenetic and distance analysis, and Phamerator to annotate, analyze, and compare phage genomes.  Biology 354 - Investigations in Functional Genetics. Taught for the first time Spring 2016, and may be offered occasionally. Students dentify promoters and terminators from phage genomes using software found online. They design primers to amplify them and clone them into vectors containing fluorescent protein genes that facilitate the testing their promoting or terminating activity. omputer Science 300 - Bioinformatics. Can be taken for Biology 300-level credit. Co-taught by computer science faculty member and biology faculty member. Science students must have taken at least one programming course. Using the python language, studentslearn about and design algorithms. ROSALIND is used for assignments with great success. The course has a phylogenetics emphasis due to the expertise of both instructors."	"Space and competition in the curriculum.sExpertise in the faculty (many biologists know how to use the tools, or even may be able to program, but would not feel comfortable teaching programming)."	NA	NA	NA	NA	NA
R_1PZr3vkHrAJCMlp	4-5-2016__3:03:55_PM	4-5-2016__3:53:13_PM	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	"Additional course would be offered as an elective and may face low enrollment barrier to run regularly. Also, prerequisite courses may hinder enrollment of a more diverse group of students."	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	"Protein structure database (PDB), software to visualize, analyze, and compare protein structures: VMD, PyMol etc."	2	NA	5	5	1	1	5	2	4	NA	18	7	1	3	3	3	3	Cell and Molecular Biology	1	2	"Bioinformatics for Life Sciences, CMB 351, Cell and Molecular Biology.sThe course covers 1) the use of public bioinformatics databases, such as NCBI, UniProt, UniGene, etc., 2) the use of BLAST algorithms, 3) the use and algorithms of pairwise and multipl sequence alignment; 4) phylogenetic analysis; 5) motif identification; 6) co-evolution; 7) elements of genome analysis. Computational Biology, CMB 452, Cell and Molecular Biology. The course covers: 1) structure and folding of proteins; 2) protein strucure prediction; 3) computer simulations of proteins and nucleic acids; 4) ligand docking simulations and drug design. The department currently prepares an additional course CMB 460 - Genomics, focusing specifically on genome analysis. This new course - aong with the two above - will form a basis for an undergraduate Bioinformatics and Genomics certificate. I hope the certificate will be approved and offered within the next two years."	"Life science majors tend to have little to no background in statistics and programming - and a good deal of fear of both. The goal of my current CMB 351 is simply to teach the students how to use the available data and online tools correctly, and how to iterpret the results critically - along with some low-level information on algorithms involved. I would like to teach a senior level course that is project based and involves programing. However, enrollment issues would have to be overcome as well as studets would have to take a Comp. Sci. programing course as a prerequisite. In other words, for a cell and molecular biology major with huge emphasis on wet lab proficiency, adding 2-4 computational courses to the required curriculum is not palatable. The bes target group is CMB-major/CompSci-minor, but there are currently few such students, at least in my institution."	Please contact me by email at szarecka@gvsu.edu for updated 2016/2017 syllabi.	NA	NA	NA	"I would be most interested in learning more about the outcome of this survey, other instructors comments and thoughts. If I can be of any help - Id like to be involved in future work on this project."
R_1Ffy7tVp6hVoNNz	4-19-2016__9:18:55_AM	4-19-2016__9:30:34_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	I do not have background in this area and there is not much room for bioinformatics topics in the cell biology course that I teach.	1	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	2	6	6	6	6	6	6	6	6	6	6	6	6	NA	2	NA	2	3	1	2	5	2	4	NA	34	2	1	3	1	2	2	Biology	2	3	NA	faculty expertise - hiring such a faculty member is one of our long-term goals	NA	NA	NA	NA	NA
R_30ekKzfkia0Og0p	5-3-2016__10:36:11_PM	5-3-2016__10:40:27_PM	1	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"Short course, one on one"	"Grad students, postdocs"	"Basic skills, UNIX navigation and basic R."	Research problem or general interest in learning more	1	4	2	5	3	3	3	3	2	2	2	3	2	4	4	5	R	NA	NA	4	5	1	1	5	2	4	NA	5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8CjMkA6Td0un2qV	4-25-2016__6:56:24_PM	4-25-2016__7:04:32_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	my personal knowledge (or lack thereof) on the subject	2	NA	1	NA	2	NA	1	"New major, starting in Fall 2016.  Offered jointly between the departments of Biological Sciences and Mathematics, Statistics, and Computer Science at Marquette University."	NA	NA	NA	NA	NA	1	5	3	3	4	4	3	3	3	3	3	3	3	3	3	3	NA	2	NA	3	5	1	2	5	2	4	NA	24	2	1	4	2	2	2	Department of Biological Sciences	3	3	NA	The challenge of a generation of faculty who may have little expertise in bioinformatics successfully integrating bioinformatics into their teaching.	NA	NA	NA	NA	NA
R_cFPLf0E4rmuyTEp	4-26-2016__9:49:07_AM	4-26-2016__9:59:53_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	4	2	2	2	2	2	2	2	2	2	4	4	4	I feel students should have HIPAA training - to understand the ethics and privacy concerns of any PHI they might encounter as we integrate genotype and phenotype information	NA	NA	5	5	1	1	5	2	4	NA	24	2	1	4	3	3	3	Department of Electrical Engineering and Computer Science	2	3	NA	It is important to consider and adjust the prerequisite structure to better accomodate students from different academic disciplines so that students may select courses from several departments.	NA	NA	NA	"Students from biology/chemistry/nursing typically lack the foundations in simple coding (software programming) , which they may need to process data before using a tool like Weka."	NA
R_88QSGHwq7DjwU6h	4-7-2016__10:07:26_AM	4-7-2016__10:12:18_AM	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	6	3	4	NA	2	1	1	4	3	3	3	ZOOLOGY	7	6	NA	NA	NA	NA	NA	NA	BIOINFORMATICS IS SOMETHING THAT CAN BE PICKED UP ON THE RUN. UNDERGRAD EDUCATION SHOULD BE MORE FOCUSED ON BASICS AND REINFORCEMENT OF THOSE BASICS MAKING THE STUDENTS CAPABLE OF FIGURING THINGS OUT. I DID NOT HAVE BIOINFORMATICS TRAINING AT ANY LEVEL BU FIGURED THINGS OUT OVER THE COURSE OF SCHOOL.
R_d4iNP9tPiUvISoZ	4-7-2016__10:45:35_AM	4-7-2016__10:53:44_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	4	4	4	4	3	3	3	3	3	3	4	4	3	NA	NA	NA	3	4	1	2	5	2	4	NA	34	2	1	4	3	3	3	Genetics	2	3	NA	"So much to learn, so little time."	NA	NA	NA	Statistical analysis	NA
R_bIYwc1qNPocHRJj	4-7-2016__10:33:57_AM	4-7-2016__10:38:46_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	lack of resources/time/money	3	NA	3	NA	3	NA	3	NA	NA	NA	NA	NA	NA	1	4	2	5	3	3	2	2	2	2	2	3	3	3	2	3	NA	1	lack of time and resources	2	5	1	1	5	2	1	NA	5	8	1	4	1	3	3	Botany	4	6	NA	NA	NA	NA	NA	NA	NA
R_etSMxNdoRj9BEvb	4-25-2016__12:21:07_PM	4-25-2016__12:26:24_PM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	1	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	"Bridging to other -informatics disciplines, medical informations, ecoinformatics, etc.  Moving above the molecule/suborganismal scale would be great."	NA	NA	4	5	1	2	5	2	4	NA	20	2	1	4	2	3	3	Department of Entomology	2	1	NA	Thinking probabilistically.	NA	NA	NA	Statistics.	NA
R_bfS56qQnujqCW69	4-12-2016__9:37:11_AM	4-12-2016__9:42:04_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	6	5	5	3	3	3	2	2	4	3	4	6	5	NA	NA	NA	4	6	1	1	6	3	4	NA	21	8	1	4	2	3	3	Genetics	3	3	NA	NA	NA	NA	NA	NA	NA
R_eDaia5SeYqJUopT	4-10-2016__8:49:28_PM	4-10-2016__8:53:23_PM	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5	2	3	NA	33	1	1	1	1	1	1	Biology Department	2	3	NA	NA	NA	NA	NA	NA	NA
R_0CdZozNnZBY4HkN	4-14-2016__1:32:48_PM	4-14-2016__2:27:01_PM	1	1	1	1	1	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	We have recently redone our five core courses that all biology students take. Within this framework we have added bioinformatics components to those courses.	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	3	4	4	4	3	4	3	3	3	3	3	2	4	3	"Evaluating and creating phylogenetic trees using various methods such as Maximum Parsimony, Maximum Likelihood and Bayesian."	1	Computers labs are limited as the university feels that the majority of students have laptops or desktops so the university does not need to supply labs. This is very recent.	4	5	1	2	5	2	4	NA	17	3	1	4	3	3	3	Department of Biology	4	3	"BIO 575 Applied Bioinformatics 4 credits (3-3 lecture-lab), meets for 6 hours a week. Application of bioinformatics techniques. Topics include: gene finding, pairwise and multiple sequence alignments of DNA and protein sequences, and the use of GenBank an BLAST"	"As bioinformatics actually covers many different topics, the difficulty is broadly training students with only one or two courses. As most schools do not have a degree or certificate in bioinformatics there is generally only time to have one or two electie courses offered.  Next is exactly what to teach as different people have different ideas, some one students to learn a narrow set that they will use in research and other, like myself, want more broad training. Also, for biologist how much computer pograming do they need?"	NA	0	0	NA	NA
R_3qwYpEQTfatwakk	4-5-2016__12:50:45_PM	4-5-2016__12:58:23_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	Lack of awareness of resources to help my integrate bioinformatics effectively - e.g. modules or prepared active-learning exercises.	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	2	2	3	3	3	3	3	3	3	3	3	2	3	3	NA	1	availability/modernness of computer lab	2	5	1	1	5	2	4	NA	18	2	1	4	2	3	3	Department of Biology	4	6	NA	"I think bioinformatics would best be taught if it was integrated into the sequences of core courses rather than a standalone course. But, not all instructors have the knowledge and experience necessary to do it well. Resources from the bioinformatics commnity that were targeted to these types of courses would be a great help, I think."	NA	NA	NA	NA	NA
R_24Oe9MxRjGZ53rT	4-25-2016__11:05:17_AM	4-25-2016__11:09:54_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	3	5	5	3	3	5	5	2	3	2	1	3	3	NA	NA	NA	2	4	1	2	5	2	4	NA	24	2	1	4	2	3	3	Department of Biology	3	4	NA	NA	NA	NA	NA	NA	NA
R_86ezR2EBeDzaHIx	4-7-2016__2:54:30_PM	4-7-2016__3:06:05_PM	1	1	1	1	2	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	Lack of faculty time and expertise	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	4	4	4	4	3	3	4	2	4	4	NA	1	High performaance computing aligned with biology informatics.	3	5	1	2	5	2	4	NA	46	3	1	4	2	2	1	Department of Biology	3	3	"Biotechnology laboratory - work with DNA characterization, molecualr markers and genome sequencing.sPlant Genomics and Proteomics - includes bioinformatic analysessPersonalized medicine - genome sequecing, disease markers, susceptibility genes"	Time to develop courses and material appropriate for students including discovery projects. Variation in students backgrounds	NA	NA	NA	NA	NA
